"Service","EC2-Other($)","EC2-Instances($)","Lambda($)","Total costs($)"
"Service total","2858","17305","280","20443"
"2025-09-01","148","820","12","980"
"2025-10-01","162","905","14","1081"
"2025-11-01","180","1040","16","1236"
"2025-12-01","205","1225","19","1449"
"2026-01-01","195","1160","17","1372"
"2026-02-01","220","1310","21","1551"
"2026-03-01","245","1485","24","1754"
"2026-04-01","255","1540","26","1821"
"2026-05-01","278","1710","29","2017"
"2026-06-01","300","1875","31","2206"
"2026-07-01","322","2030","34","2386"
"2026-08-01","348","2205","37","2590"
